nohup: les entrées sont ignorées

   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-05-17 23:15:16 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:15:18 /api/mesure .................................. ~ 0.09ms
  2026-05-17 23:15:20 /api/mesure .................................. ~ 0.09ms
  2026-05-17 23:15:22 /api/mesure .................................. ~ 0.26ms
  2026-05-17 23:15:24 /api/mesure .................................. ~ 0.09ms
  2026-05-17 23:15:26 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:15:28 /api/mesure .................................. ~ 0.26ms
  2026-05-17 23:15:30 /api/mesure .................................. ~ 0.30ms
  2026-05-17 23:15:32 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:15:34 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:15:36 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:15:38 /api/mesure .................................. ~ 0.28ms
  2026-05-17 23:15:40 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:15:42 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:15:45 /api/mesure .................................. ~ 0.09ms
  2026-05-17 23:15:47 /api/mesure .................................. ~ 0.23ms
  2026-05-17 23:15:49 /api/mesure .................................. ~ 0.14ms
  2026-05-17 23:15:51 /api/mesure .................................. ~ 0.17ms
  2026-05-17 23:15:53 /api/mesure .................................. ~ 0.12ms
  2026-05-17 23:15:55 /api/mesure .................................. ~ 0.12ms
  2026-05-17 23:15:57 /api/mesure .................................. ~ 0.09ms
  2026-05-17 23:15:59 /api/mesure .................................. ~ 0.09ms
  2026-05-17 23:16:01 /api/mesure .................................. ~ 0.26ms
  2026-05-17 23:16:03 /api/mesure .................................. ~ 0.23ms
  2026-05-17 23:16:05 /api/mesure .................................. ~ 0.09ms
  2026-05-17 23:16:07 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:16:09 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:16:09 /api/mesure .................................. ~ 0.13ms
  2026-05-17 23:16:11 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:16:13 /api/mesure .................................. ~ 0.09ms
  2026-05-17 23:16:15 /api/mesure .................................. ~ 0.14ms
  2026-05-17 23:16:17 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:16:19 /api/mesure .................................. ~ 0.26ms
  2026-05-17 23:16:21 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:16:23 /api/mesure .................................. ~ 0.24ms
  2026-05-17 23:16:25 /api/mesure .................................. ~ 0.10ms
  2026-05-17 23:16:27 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:16:29 /api/mesure .................................. ~ 0.10ms
  2026-05-17 23:16:31 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:16:33 /api/mesure .................................. ~ 0.09ms
  2026-05-17 23:16:35 /api/mesure .................................. ~ 0.11ms
  2026-05-17 23:16:37 /api/mesure .................................. ~ 0.09ms
  2026-05-17 23:16:39 /api/mesure .................................. ~ 0.09ms
  2026-05-17 23:16:41 /api/mesure .................................. ~ 0.09ms
  2026-05-17 23:16:43 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:16:49 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:16:49 /api/mesure .................................. ~ 0.10ms
  2026-05-17 23:16:51 /api/mesure .................................. ~ 0.09ms
  2026-05-17 23:16:53 /dashboard ................................... ~ 0.12ms
  2026-05-17 23:16:53 /api/mesure .................................. ~ 0.50ms
  2026-05-17 23:16:54 /dashboard ................................... ~ 0.20ms
  2026-05-17 23:16:54 /api/mesure .................................. ~ 1.02ms
  2026-05-17 23:16:54 /dashboard ................................... ~ 0.10ms
  2026-05-17 23:16:54 /api/mesure ................................ ~ 501.46ms
  2026-05-17 23:16:55 /sw.js ....................................... ~ 0.26ms
  2026-05-17 23:16:56 /api/mesure .................................. ~ 0.54ms
  2026-05-17 23:16:56 /api/mesure ................................ ~ 500.68ms
  2026-05-17 23:16:58 /api/mesure ................................ ~ 500.30ms
  2026-05-17 23:17:00 /api/mesure ................................ ~ 500.70ms
  2026-05-17 23:17:02 /api/mesure ................................ ~ 500.55ms
  2026-05-17 23:17:04 /api/mesure ................................ ~ 500.72ms
  2026-05-17 23:17:06 /api/mesure ................................ ~ 500.71ms
  2026-05-17 23:17:08 /api/mesure ................................ ~ 500.60ms
  2026-05-17 23:17:10 /api/mesure ................................ ~ 500.60ms
  2026-05-17 23:17:12 /api/mesure ................................ ~ 500.73ms
  2026-05-17 23:17:14 /api/mesure .................................. ~ 0.31ms
  2026-05-17 23:17:16 /api/mesure ................................ ~ 500.34ms
  2026-05-17 23:17:18 /api/mesure .................................. ~ 0.27ms
  2026-05-17 23:17:20 /api/mesure .................................. ~ 0.09ms
  2026-05-17 23:17:22 /api/mesure .................................. ~ 0.09ms
  2026-05-17 23:17:24 /api/mesure .................................. ~ 0.13ms
  2026-05-17 23:17:26 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:17:28 /api/mesure .................................. ~ 0.26ms
  2026-05-17 23:17:30 /api/mesure .................................. ~ 0.28ms
  2026-05-17 23:17:32 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:17:34 /api/mesure .................................. ~ 0.18ms
  2026-05-17 23:17:36 /api/mesure .................................. ~ 0.23ms
  2026-05-17 23:17:38 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:17:40 /api/mesure .................................. ~ 0.20ms
  2026-05-17 23:17:42 /api/mesure .................................. ~ 0.31ms
  2026-05-17 23:17:44 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:17:46 /api/mesure .................................. ~ 0.25ms
  2026-05-17 23:17:48 /api/mesure .................................. ~ 0.23ms
  2026-05-17 23:17:48 /api/mesure ...................................... ~ 1s
  2026-05-17 23:17:52 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:17:54 /api/mesure .................................. ~ 0.10ms
  2026-05-17 23:17:56 /api/mesure .................................. ~ 0.32ms
  2026-05-17 23:17:58 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:18:00 /api/mesure .................................. ~ 0.20ms
  2026-05-17 23:18:02 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:18:02 /parametres .................................. ~ 0.30ms
  2026-05-17 23:18:02 /sw.js ........................................... ~ 2s
  2026-05-17 23:18:10 /sw.js ....................................... ~ 0.09ms
  2026-05-17 23:18:21 /rapports .................................... ~ 0.17ms
  2026-05-17 23:18:21 /sw.js ........................................... ~ 2s
  2026-05-17 23:18:42 /dashboard ................................... ~ 0.09ms
  2026-05-17 23:18:42 /api/mesure .................................. ~ 0.04ms
  2026-05-17 23:18:44 /sw.js ....................................... ~ 0.26ms
  2026-05-17 23:18:44 /api/mesure .................................. ~ 0.04ms
  2026-05-17 23:18:46 /api/mesure .................................. ~ 0.09ms
  2026-05-17 23:18:48 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:18:50 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:18:52 /api/mesure .................................. ~ 0.27ms
  2026-05-17 23:18:54 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:18:56 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:18:58 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:18:58 /dashboard ................................... ~ 0.29ms
  2026-05-17 23:18:58 /api/mesure .................................. ~ 1.35ms
  2026-05-17 23:19:00 /sw.js ....................................... ~ 0.30ms
  2026-05-17 23:19:00 /dashboard ................................... ~ 0.34ms
  2026-05-17 23:19:00 /api/mesure .................................. ~ 2.28ms
  2026-05-17 23:19:01 /dashboard ................................... ~ 0.26ms
  2026-05-17 23:19:01 /api/mesure .................................. ~ 1.33ms
  2026-05-17 23:19:02 /sw.js ....................................... ~ 0.08ms
  2026-05-17 23:19:02 /dashboard ................................... ~ 0.04ms
  2026-05-17 23:19:02 /api/mesure .................................. ~ 0.37ms
  2026-05-17 23:19:02 /dashboard ................................... ~ 0.04ms
  2026-05-17 23:19:02 /api/mesure .................................. ~ 0.37ms
  2026-05-17 23:19:02 /dashboard ................................... ~ 0.23ms
  2026-05-17 23:19:02 /api/mesure .................................. ~ 1.15ms
  2026-05-17 23:19:02 /dashboard ................................... ~ 0.11ms
  2026-05-17 23:19:02 /api/mesure .................................. ~ 0.97ms
  2026-05-17 23:19:03 /sw.js ....................................... ~ 0.09ms
  2026-05-17 23:19:04 /sw.js ....................................... ~ 0.19ms
  2026-05-17 23:19:04 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:19:06 /api/mesure .................................. ~ 0.26ms
  2026-05-17 23:19:08 /api/mesure .................................. ~ 0.09ms
  2026-05-17 23:19:10 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:19:12 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:19:13 /sms ....................................... ~ 500.72ms
  2026-05-17 23:19:14 /sw.js ........................................... ~ 1s
  2026-05-17 23:19:16 /api/mesure .................................. ~ 0.09ms
  2026-05-17 23:19:16 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:19:18 /api/mesure .................................. ~ 0.26ms
  2026-05-17 23:19:20 /api/mesure .................................. ~ 0.25ms
  2026-05-17 23:19:22 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:19:24 /api/mesure .................................. ~ 0.09ms
  2026-05-17 23:19:26 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:19:28 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:19:30 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:19:32 /api/mesure .................................. ~ 0.25ms
  2026-05-17 23:19:34 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:19:36 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:19:38 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:19:40 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:19:41 /api/mesure ...................................... ~ 1s
  2026-05-17 23:19:44 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:19:46 /api/mesure .................................. ~ 0.25ms
  2026-05-17 23:19:48 /api/mesure .................................. ~ 0.37ms
  2026-05-17 23:19:49 /rapports .................................... ~ 0.11ms
  2026-05-17 23:19:49 /sw.js ........................................... ~ 2s
  2026-05-17 23:19:53 /rapports .................................... ~ 0.25ms
  2026-05-17 23:19:53 /rapports ........................................ ~ 1s
  2026-05-17 23:19:54 /rapports .................................. ~ 500.37ms
  2026-05-17 23:19:55 /sw.js ....................................... ~ 0.04ms
  2026-05-17 23:19:55 /rapports .................................... ~ 0.03ms
  2026-05-17 23:19:55 /rapports .................................. ~ 500.37ms
  2026-05-17 23:19:55 /rapports .................................... ~ 0.05ms
  2026-05-17 23:19:55 /rapports .................................. ~ 500.89ms
  2026-05-17 23:19:56 /rapports .................................... ~ 0.09ms
  2026-05-17 23:19:56 /rapports .................................... ~ 0.04ms
  2026-05-17 23:19:56 /rapports .................................... ~ 0.03ms
  2026-05-17 23:19:56 /rapports .................................. ~ 500.74ms
  2026-05-17 23:19:56 /sw.js ........................................... ~ 1s
  2026-05-17 23:20:01 /dashboard ................................... ~ 0.22ms
  2026-05-17 23:20:01 /api/mesure .................................. ~ 0.10ms
  2026-05-17 23:20:03 /sw.js ....................................... ~ 0.22ms
  2026-05-17 23:20:03 /api/mesure .................................. ~ 0.11ms
  2026-05-17 23:20:05 /api/mesure .................................. ~ 0.27ms
  2026-05-17 23:20:07 /api/mesure .................................. ~ 0.28ms
  2026-05-17 23:20:09 /api/mesure .................................. ~ 0.09ms
  2026-05-17 23:20:11 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:20:13 /api/mesure .................................. ~ 0.26ms
  2026-05-17 23:20:15 /api/mesure .................................. ~ 0.09ms
  2026-05-17 23:20:17 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:20:19 /api/mesure .................................. ~ 0.23ms
  2026-05-17 23:20:21 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:20:23 /api/mesure .................................. ~ 0.26ms
  2026-05-17 23:20:25 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:20:27 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:20:29 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:20:31 /api/mesure .................................. ~ 0.26ms
  2026-05-17 23:20:33 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:20:35 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:20:37 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:20:39 /api/mesure .................................. ~ 0.26ms
  2026-05-17 23:20:41 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:20:43 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:20:45 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:20:47 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:20:49 /api/mesure .................................. ~ 0.26ms
  2026-05-17 23:20:51 /api/mesure .................................. ~ 0.23ms
  2026-05-17 23:20:52 /dashboard ................................... ~ 0.09ms
  2026-05-17 23:20:53 /api/mesure .................................. ~ 0.04ms
  2026-05-17 23:20:53 /dashboard ................................. ~ 500.73ms
  2026-05-17 23:20:54 /api/mesure .................................. ~ 0.11ms
  2026-05-17 23:20:55 /sw.js ....................................... ~ 0.22ms
  2026-05-17 23:20:56 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:20:58 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:21:00 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:21:02 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:21:04 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:21:06 /api/mesure .................................. ~ 0.26ms
  2026-05-17 23:21:08 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:21:10 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:21:12 /api/mesure .................................. ~ 0.27ms
  2026-05-17 23:21:14 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:21:16 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:21:18 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:21:20 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:21:22 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:21:24 /api/mesure .................................. ~ 0.24ms
  2026-05-17 23:21:26 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:21:28 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:21:30 /api/mesure .................................. ~ 0.09ms
  2026-05-17 23:21:32 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:21:34 /api/mesure .................................. ~ 0.23ms
  2026-05-17 23:21:36 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:21:38 /api/mesure .................................. ~ 0.26ms
  2026-05-17 23:21:40 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:21:42 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:21:44 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:21:46 /api/mesure .................................. ~ 0.26ms
  2026-05-17 23:21:48 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:21:50 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:21:52 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:21:54 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:21:56 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:21:58 /api/mesure ................................ ~ 500.70ms
  2026-05-17 23:22:00 /api/mesure ................................ ~ 500.72ms
  2026-05-17 23:22:02 /api/mesure ................................ ~ 500.66ms
  2026-05-17 23:22:04 /api/mesure ................................ ~ 500.71ms
  2026-05-17 23:22:06 /api/mesure ................................ ~ 500.66ms
  2026-05-17 23:22:08 /api/mesure ................................ ~ 500.68ms
  2026-05-17 23:22:10 /api/mesure ................................ ~ 500.72ms
  2026-05-17 23:22:12 /api/mesure ................................ ~ 500.58ms
  2026-05-17 23:22:14 /api/mesure ................................ ~ 500.59ms
  2026-05-17 23:22:16 /api/mesure ................................ ~ 500.69ms
  2026-05-17 23:22:18 /api/mesure .................................. ~ 0.33ms
  2026-05-17 23:22:20 /api/mesure .................................. ~ 0.33ms
  2026-05-17 23:22:22 /api/mesure .................................. ~ 0.23ms
  2026-05-17 23:22:24 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:22:26 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:22:28 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:22:30 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:22:32 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:22:34 /api/mesure .................................. ~ 0.27ms
  2026-05-17 23:22:36 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:22:38 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:22:40 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:22:42 /api/mesure .................................. ~ 0.23ms
  2026-05-17 23:22:44 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:22:46 /api/mesure .................................. ~ 0.27ms
  2026-05-17 23:22:48 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:22:50 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:22:52 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:22:54 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:22:56 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:22:58 /api/mesure .................................. ~ 0.24ms
  2026-05-17 23:23:00 /api/mesure .................................. ~ 0.23ms
  2026-05-17 23:23:02 /api/mesure .................................. ~ 0.25ms
  2026-05-17 23:23:04 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:23:06 /api/mesure .................................. ~ 0.23ms
  2026-05-17 23:23:08 /api/mesure .................................. ~ 0.10ms
  2026-05-17 23:23:10 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:23:12 /api/mesure .................................. ~ 0.09ms
  2026-05-17 23:23:14 /api/mesure .................................. ~ 0.10ms
  2026-05-17 23:23:15 /dashboard ................................... ~ 0.26ms
  2026-05-17 23:23:15 /api/mesure .................................. ~ 1.45ms
  2026-05-17 23:23:17 /sw.js ....................................... ~ 0.22ms
  2026-05-17 23:23:17 /api/mesure .................................. ~ 0.11ms
  2026-05-17 23:23:19 /api/mesure .................................. ~ 0.27ms
  2026-05-17 23:23:21 /api/mesure .................................. ~ 0.28ms
  2026-05-17 23:23:23 /dashboard ................................... ~ 0.47ms
  2026-05-17 23:23:23 /api/mesure .................................. ~ 1.61ms
  2026-05-17 23:23:23 /api/mesure .................................. ~ 0.10ms
  2026-05-17 23:23:24 /dashboard ................................. ~ 500.70ms
  2026-05-17 23:23:24 /api/mesure ................................ ~ 501.66ms
  2026-05-17 23:23:25 /sw.js ....................................... ~ 0.13ms
  2026-05-17 23:23:25 /dashboard ................................... ~ 0.10ms
  2026-05-17 23:23:25 /api/mesure .................................. ~ 0.47ms
  2026-05-17 23:23:25 /dashboard ................................... ~ 0.05ms
  2026-05-17 23:23:25 /api/mesure .................................. ~ 0.37ms
  2026-05-17 23:23:25 /dashboard ................................... ~ 0.10ms
  2026-05-17 23:23:25 /api/mesure .................................. ~ 0.49ms
  2026-05-17 23:23:26 /dashboard ................................... ~ 0.11ms
  2026-05-17 23:23:26 /api/mesure .................................. ~ 0.56ms
  2026-05-17 23:23:26 /dashboard ................................... ~ 0.13ms
  2026-05-17 23:23:26 /api/mesure ................................ ~ 501.05ms
  2026-05-17 23:23:26 /sw.js ....................................... ~ 0.05ms
  2026-05-17 23:23:26 /dashboard ................................... ~ 0.06ms
  2026-05-17 23:23:26 /api/mesure .................................. ~ 0.49ms
  2026-05-17 23:23:26 /dashboard ................................... ~ 0.11ms
  2026-05-17 23:23:26 /api/mesure .................................. ~ 0.85ms
  2026-05-17 23:23:27 /dashboard ................................... ~ 0.20ms
  2026-05-17 23:23:27 /api/mesure .................................. ~ 0.93ms
  2026-05-17 23:23:27 /dashboard ................................... ~ 0.08ms
  2026-05-17 23:23:27 /api/mesure .................................. ~ 0.70ms
  2026-05-17 23:23:27 /dashboard ................................... ~ 0.09ms
  2026-05-17 23:23:27 /api/mesure .................................. ~ 0.48ms
  2026-05-17 23:23:27 /dashboard ................................... ~ 0.13ms
  2026-05-17 23:23:27 /api/mesure .................................. ~ 0.54ms
  2026-05-17 23:23:27 /dashboard ................................... ~ 0.05ms
  2026-05-17 23:23:27 /api/mesure .................................. ~ 0.43ms
  2026-05-17 23:23:27 /dashboard ................................... ~ 0.16ms
  2026-05-17 23:23:27 /api/mesure .................................. ~ 0.51ms
  2026-05-17 23:23:28 /dashboard ................................... ~ 0.05ms
  2026-05-17 23:23:28 /api/mesure .................................. ~ 0.44ms
  2026-05-17 23:23:28 /dashboard ................................... ~ 0.06ms
  2026-05-17 23:23:28 /api/mesure .................................. ~ 0.50ms
  2026-05-17 23:23:28 /dashboard ................................. ~ 500.61ms
  2026-05-17 23:23:28 /api/mesure ................................ ~ 501.53ms
  2026-05-17 23:23:29 /sw.js ....................................... ~ 0.09ms
  2026-05-17 23:23:30 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:23:32 /api/mesure .................................. ~ 0.28ms
  2026-05-17 23:23:34 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:23:36 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:23:38 /api/mesure .................................. ~ 0.27ms
  2026-05-17 23:23:40 /sw.js ....................................... ~ 0.21ms
  2026-05-17 23:23:40 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:23:42 /api/mesure .................................. ~ 0.27ms
  2026-05-17 23:23:44 /api/mesure .................................. ~ 0.23ms
  2026-05-17 23:23:46 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:23:48 /api/mesure ................................ ~ 500.77ms
  2026-05-17 23:23:50 /api/mesure ................................ ~ 500.58ms
  2026-05-17 23:23:52 /api/mesure ................................ ~ 500.65ms
  2026-05-17 23:23:54 /api/mesure ................................ ~ 500.74ms
  2026-05-17 23:23:56 /api/mesure ................................ ~ 500.73ms
  2026-05-17 23:23:58 /api/mesure ................................ ~ 500.72ms
  2026-05-17 23:24:00 /api/mesure ................................ ~ 500.66ms
  2026-05-17 23:24:02 /api/mesure ................................ ~ 500.71ms
  2026-05-17 23:24:04 /api/mesure ................................ ~ 500.63ms
  2026-05-17 23:24:06 /api/mesure .................................. ~ 0.19ms
  2026-05-17 23:24:08 /api/mesure .................................. ~ 0.27ms
  2026-05-17 23:24:10 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:24:12 /api/mesure .................................. ~ 0.34ms
  2026-05-17 23:24:14 /api/mesure .................................. ~ 0.23ms
  2026-05-17 23:24:16 /api/mesure .................................. ~ 0.28ms
  2026-05-17 23:24:18 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:24:20 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:24:22 /api/mesure .................................. ~ 0.27ms
  2026-05-17 23:24:24 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:24:26 /api/mesure .................................. ~ 0.23ms
  2026-05-17 23:24:28 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:24:30 /api/mesure .................................. ~ 0.26ms
  2026-05-17 23:24:32 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:24:34 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:24:36 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:24:38 /api/mesure .................................. ~ 0.28ms
  2026-05-17 23:24:40 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:24:42 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:24:44 /api/mesure .................................. ~ 0.23ms
  2026-05-17 23:24:46 /api/mesure .................................. ~ 0.27ms
  2026-05-17 23:24:48 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:24:50 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:24:52 /api/mesure .................................. ~ 0.26ms
  2026-05-17 23:24:54 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:24:56 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:24:58 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:25:00 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:25:02 /api/mesure .................................. ~ 0.23ms
  2026-05-17 23:25:04 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:25:06 /api/mesure .................................. ~ 0.26ms
  2026-05-17 23:25:08 /api/mesure .................................. ~ 0.23ms
  2026-05-17 23:25:10 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:25:12 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:25:14 /api/mesure .................................. ~ 0.27ms
  2026-05-17 23:25:16 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:25:18 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:25:20 /api/mesure .................................. ~ 0.23ms
  2026-05-17 23:25:22 /api/mesure .................................. ~ 0.10ms
  2026-05-17 23:25:24 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:25:26 /api/mesure .................................. ~ 0.13ms
  2026-05-17 23:25:28 /api/mesure .................................. ~ 0.13ms
  2026-05-17 23:25:30 /api/mesure .................................. ~ 0.14ms
  2026-05-17 23:25:32 /api/mesure .................................. ~ 0.32ms
  2026-05-17 23:25:34 /api/mesure .................................. ~ 0.09ms
  2026-05-17 23:25:36 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:25:38 /api/mesure .................................. ~ 0.23ms
  2026-05-17 23:25:40 /api/mesure .................................. ~ 0.36ms
  2026-05-17 23:25:42 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:25:44 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:25:46 /api/mesure .................................. ~ 0.09ms
  2026-05-17 23:25:48 /api/mesure .................................. ~ 0.09ms
  2026-05-17 23:25:50 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:25:51 /dashboard ................................... ~ 0.35ms
  2026-05-17 23:25:51 /api/mesure .................................. ~ 1.36ms
  2026-05-17 23:25:53 /sw.js ....................................... ~ 0.21ms
  2026-05-17 23:25:53 /api/mesure .................................. ~ 0.09ms
  2026-05-17 23:25:55 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:25:57 /api/mesure .................................. ~ 0.25ms
  2026-05-17 23:25:59 /parametres ................................ ~ 500.58ms
  2026-05-17 23:25:59 /sw.js ........................................... ~ 1s
  2026-05-17 23:26:15 /dashboard ................................. ~ 500.98ms
  2026-05-17 23:26:15 /api/mesure .................................. ~ 0.08ms
  2026-05-17 23:26:17 /sw.js ....................................... ~ 0.09ms
  2026-05-17 23:26:17 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:26:19 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:26:21 /api/mesure .................................. ~ 0.27ms
  2026-05-17 23:26:23 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:26:25 /api/mesure .................................. ~ 0.23ms
  2026-05-17 23:26:27 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:26:29 /api/mesure .................................. ~ 0.36ms
  2026-05-17 23:26:31 /api/mesure .................................. ~ 0.32ms
  2026-05-17 23:26:33 /api/mesure .................................. ~ 0.26ms
  2026-05-17 23:26:35 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:26:37 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:26:39 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:26:41 /api/mesure .................................. ~ 0.10ms
  2026-05-17 23:26:43 /api/mesure .................................. ~ 0.26ms
  2026-05-17 23:26:45 /api/mesure .................................. ~ 0.09ms
  2026-05-17 23:26:47 /api/mesure .................................. ~ 0.21ms
