nohup: les entrées sont ignorées

   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-05-17 23:03:42 /api/mesure .................................. ~ 0.25ms
  2026-05-17 23:03:44 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:03:46 /api/mesure .................................. ~ 0.25ms
  2026-05-17 23:03:48 /api/mesure .................................. ~ 0.27ms
  2026-05-17 23:03:50 /api/mesure .................................. ~ 0.26ms
  2026-05-17 23:03:52 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:03:54 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:03:56 /api/mesure .................................. ~ 0.27ms
  2026-05-17 23:03:58 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:04:00 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:04:02 /api/mesure .................................. ~ 0.23ms
  2026-05-17 23:04:04 /api/mesure .................................. ~ 0.25ms
  2026-05-17 23:04:06 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:04:08 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:04:10 /api/mesure .................................. ~ 0.26ms
  2026-05-17 23:04:12 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:04:14 /api/mesure .................................. ~ 0.23ms
  2026-05-17 23:04:16 /api/mesure .................................. ~ 0.27ms
  2026-05-17 23:04:18 /api/mesure .................................. ~ 0.26ms
  2026-05-17 23:04:20 /api/mesure .................................. ~ 0.23ms
  2026-05-17 23:04:22 /api/mesure .................................. ~ 0.18ms
  2026-05-17 23:04:24 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:04:26 /api/mesure .................................. ~ 0.23ms
  2026-05-17 23:04:28 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:04:30 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:04:32 /api/mesure .................................. ~ 0.28ms
  2026-05-17 23:04:34 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:04:36 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:04:38 /api/mesure .................................. ~ 0.23ms
  2026-05-17 23:04:40 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:04:42 /api/mesure .................................. ~ 0.27ms
  2026-05-17 23:04:44 /api/mesure .................................. ~ 0.27ms
  2026-05-17 23:04:46 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:04:48 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:04:50 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:04:52 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:04:54 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:04:56 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:04:58 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:05:00 /api/mesure .................................. ~ 0.26ms
  2026-05-17 23:05:02 /api/mesure .................................. ~ 0.23ms
  2026-05-17 23:05:04 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:05:06 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:05:08 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:05:10 /api/mesure .................................. ~ 0.22ms
  2026-05-17 23:05:12 /api/mesure .................................. ~ 0.21ms
  2026-05-17 23:05:14 /api/mesure .................................. ~ 0.23ms
